 $IN
 LR      =  0.000000000000000E+000,
 LI      =  0.432751599366305     ,
 FAL     =   1.00010000000000     ,
 DLR     =  1.000000000000000E-008,
 DLI     =  1.000000000000000E-008,
 ALPHA   =  -2.00000000000000     ,
 FTOL    =  1.000000000000000E-005,
 ITMAX   =      100000,
 IALMAX  =      100000,
 IW      =         100
 $END
 alpha                    wr                       wi                       funk                    
809
 -0.2580091644366597E-01   0.1401290539589125E-17  -0.1425848942259964E+01  -0.3604340461693490E+02
 -0.2606035035320808E-01   0.1190652368523107E-15  -0.1423016826447688E+01  -0.3490073794229993E+02
 -0.2632239292797212E-01   0.0000000000000000E+00  -0.1420181108049069E+01  -0.1200000000000000E+03
 -0.2658707039866267E-01   0.8547422542884375E-18  -0.1417341775787184E+01  -0.3604356152026241E+02
 -0.2685440925973982E-01  -0.1784240597912591E-15  -0.1414498818334749E+01  -0.3471574311414197E+02
 -0.2712443627207135E-01  -0.9491543550848205E-18  -0.1411652224313847E+01  -0.3604354068444925E+02
 -0.2739717846561142E-01  -0.2800935624920984E-16  -0.1408801982295646E+01  -0.3511193805709309E+02
 -0.2767266314210637E-01  -0.9654249812061440E-17  -0.1405948080800125E+01  -0.3494375367079082E+02
 -0.2795091787782764E-01   0.6507351838745951E-17  -0.1403090508295792E+01  -0.3512652216427067E+02
 -0.2823197052633213E-01   0.2771944787889736E-17  -0.1400229253199401E+01  -0.3535026838395218E+02
 -0.2851584922125044E-01   0.3986893425221391E-18  -0.1397364303875671E+01  -0.3673672204172398E+02
 -0.2880258237910301E-01   0.9456701420575253E-16  -0.1394495648636998E+01  -0.3483553992142722E+02
 -0.2909219870214467E-01  -0.2767997448150043E-16  -0.1391623275743170E+01  -0.3559800371106082E+02
 -0.2938472718123776E-01   0.2760287078474780E-16  -0.1388747173401075E+01  -0.3595803887970711E+02
 -0.2968019709875414E-01   0.0000000000000000E+00  -0.1385867329764412E+01  -0.1200000000000000E+03
 -0.2997863803150639E-01   0.1857325558730876E-17  -0.1382983732933402E+01  -0.3604323297030184E+02
 -0.3028007985370845E-01   0.2527988995600598E-18  -0.1380096370954485E+01  -0.3604364561768243E+02
 -0.3058455273996608E-01  -0.3702505282001328-307  -0.1377205231820033E+01  -0.7066852108255179E+03
 -0.3089208716829738E-01   0.1132459550469870E-16  -0.1374310303468044E+01  -0.3602837518967196E+02
 -0.3120271392318363E-01  -0.5516737108178516E-18  -0.1371411573781848E+01  -0.3673665371126491E+02
 -0.3151646409865087E-01   0.7443335791135280E-16  -0.1368509030589802E+01  -0.3561999031334828E+02
 -0.3183336910138243E-01   0.4239175458440576E-18  -0.1365602661664987E+01  -0.3604363182144581E+02
 -0.3215346065386278E-01  -0.2735589917074144E-15  -0.1362692454724902E+01  -0.3460081387340749E+02
 -0.3247677079755297E-01  -0.7352215633511384E-18  -0.1359778397431157E+01  -0.3673654249977202E+02
 -0.3280333189609801E-01  -0.3084205271744647E-18  -0.1356860477389163E+01  -0.3673675526655231E+02
 -0.3313317663856651E-01   0.2410773650400721E-16  -0.1353938682147822E+01  -0.3493743068390035E+02
 -0.3346633804272288E-01   0.4584274943837396E-18  -0.1351012999199211E+01  -0.3604362849929103E+02
 -0.3380284945833242E-01  -0.7825150075601862E-16  -0.1348083415978269E+01  -0.3585904541404147E+02
 -0.3414274457049971E-01  -0.3864677760693055E-17  -0.1345149919862480E+01  -0.3479074680530485E+02
 -0.3448605740304047E-01   0.1785781626097827E-15  -0.1342212498171550E+01  -0.3464216394759070E+02
 -0.3483282232188742E-01   0.3298568888372531E-17  -0.1339271138167090E+01  -0.3535018757035689E+02
 -0.3518307403853028E-01  -0.3705569536220242E-17  -0.1336325827052292E+01  -0.3535010519986757E+02
 -0.3553684761349051E-01  -0.1410897792363911E-17  -0.1333376551971599E+01  -0.3604342143661990E+02
 -0.3589417845983080E-01  -0.9343879646142837E-16  -0.1330423300010385E+01  -0.3548942949697599E+02
 -0.3625510234670004E-01   0.7735658578084051E-16  -0.1327466058194621E+01  -0.3487335874055091E+02
 -0.3661965540291379E-01  -0.3937246505030990E-18  -0.1324504813490543E+01  -0.3604363546801468E+02
 -0.3698787412057083E-01  -0.3885074665906952E-17  -0.1321539552804320E+01  -0.3479074838085032E+02
 -0.3735979535870604E-01  -0.2906344895659941E-16  -0.1318570262981719E+01  -0.3686296756337421E+02
 -0.3773545634698004E-01   0.1493800444156366E-17  -0.1315596930807764E+01  -0.3563807457094462E+02
 -0.3811489468940592E-01   0.6202218151255684E-16  -0.1312619543006402E+01  -0.3598263247678933E+02
