 $IN
 LR      =  0.000000000000000E+000,
 LI      = -0.515786271031614     ,
 NU      =  5.000000000000000E-002,
 FAL     =  0.990000000000000     ,
 DLR     =  1.000000000000000E-008,
 DLI     =  1.000000000000000E-008,
 ALPHA   = -0.343451209373083     ,
 NMAX    =          50,
 NMIN    =           3,
 AMAX    =  1.000000000000000E+040,
 EPS     =  9.999999999999999E-021,
 FTOL    =  1.000000000000000E-005,
 ITMAX   =       10000,
 IALMAX  =       10000,
 IW      =           1
 $END
 wr =   0.000000000000000E+000
 wi =  -0.515786271031614     
 alpha                    wr                       wi                       nmax          nmin          funk           
 -0.6673568480455835E-01   0.4742917915184596-116  -0.1104778502109007E+01           200            21  -0.27630974E+03
 -0.6606832795651277E-01   0.4942534609876375-116  -0.1107879063930503E+01           200            21  -0.27630896E+03
 -0.6540764467694764E-01   0.5134881750484615-116  -0.1110974597931850E+01           200            21  -0.27631117E+03
 -0.6475356823017817E-01   0.5358644044477246-116  -0.1114065121931717E+01           200            21  -0.27630884E+03
 -0.6410603254787638E-01  -0.2509983347213593E-12  -0.1117150653656346E+01           200            21  -0.37638689E+02
 -0.6346497222239761E-01  -0.6175765419981558E-13  -0.1120231210739844E+01           200            21  -0.39081124E+02
 -0.6283032250017363E-01  -0.1295107228488776E-11  -0.1123306810734675E+01           200            21  -0.36078139E+02
 -0.6220201927517190E-01  -0.6272997886006383-116  -0.1126377471118939E+01           200            21  -0.27631200E+03
 -0.6157999908242018E-01  -0.6531747016369173-116  -0.1129443209265462E+01           200            21  -0.27631161E+03
 -0.6096419909159598E-01   0.8321413683364063E-12  -0.1132504042479617E+01           200            21  -0.36640571E+02
 -0.6035455710068002E-01   0.7074344920421474-116  -0.1135559987973557E+01           200            21  -0.27631169E+03
 -0.5975101152967321E-01  -0.7361933004808927-116  -0.1138611062885002E+01           200            21  -0.27631169E+03
 -0.5915350141437648E-01   0.7642501069358861-116  -0.1141657284258674E+01           200            21  -0.27631409E+03
 -0.5856196640023272E-01   0.7953113268159028-116  -0.1144698669066186E+01           200            21  -0.27631399E+03
 -0.5797634673623039E-01  -0.8268240109826894-116  -0.1147735234185299E+01           200            21  -0.27631481E+03
 -0.5739658326886808E-01  -0.5216232049847549-115  -0.1150766996428287E+01           200            22  -0.35350566E+02
 -0.5682261743617940E-01  -0.9301313072726894-116  -0.1153793972515639E+01           200            22  -0.27630804E+03
 -0.5625439126181760E-01  -0.8456395709541570E-12  -0.1156816179094954E+01           200            22  -0.36974854E+02
 -0.5569184734919943E-01  -0.1007325903507134-115  -0.1159833632720729E+01           200            22  -0.27630912E+03
 -0.5513492887570744E-01  -0.1047374049089579-115  -0.1162846349890148E+01           200            22  -0.27631045E+03
 -0.5458357958695036E-01  -0.1633447316493816E-12  -0.1165854346988692E+01           200            22  -0.38740036E+02
