 $IN
 LR      =  0.000000000000000E+000,
 LI      =  5.515689316165199E-003,
 NU      =  5.000000000000000E-002,
 FAL     =   1.01000000000000     ,
 DLR     =  1.000000000000000E-008,
 DLI     =  1.000000000000000E-008,
 ALPHA   =  -1.01000000000000     ,
 NMAX    =          50,
 NMIN    =           3,
 AMAX    =  1.000000000000000E+040,
 EPS     =  9.999999999999999E-021,
 FTOL    =  1.000000000000000E-005,
 ITMAX   =       10000,
 IALMAX  =       10000,
 IW      =           1
 $END
 wr =   0.000000000000000E+000
 wi =   5.515689316165199E-003
 alpha                    wr                       wi                       nmax          nmin          funk           
 -0.2900215094031163E+01   0.9917158928418201E-18   0.6959220245104296E+00           200             3  -0.35640594E+02
 -0.2929217244971475E+01  -0.3374618840228403E-16   0.7036307974011853E+00           200             3  -0.34857634E+02
 -0.2958509417421189E+01  -0.3279515513405185E-16   0.7113662685157667E+00           200             3  -0.34497931E+02
 -0.2988094511595401E+01  -0.1117473145662935E-23   0.7191285779138082E+00           200             3  -0.36325508E+02
 -0.3017975456711355E+01  -0.8831841793539657E-18   0.7269178664550944E+00           200             3  -0.35223911E+02
 -0.3048155211278469E+01  -0.4842356470474858E-18   0.7347342758038204E+00           200             3  -0.36319448E+02
 -0.3078636763391254E+01  -0.4116464444178400E-18   0.7425779484328714E+00           200             3  -0.36316656E+02
 -0.3109423131025166E+01  -0.3023176806686224E-17   0.7504490276281166E+00           200             3  -0.34704061E+02
 -0.3140517362335418E+01  -0.1027858777669766E-17   0.7583476574927219E+00           200             3  -0.34365170E+02
 -0.3171922535958772E+01   0.1318415685117836E-16   0.7662739829514791E+00           200             3  -0.34689166E+02
 -0.3203641761318360E+01   0.9405660741005377E-18   0.7742281497551502E+00           200             3  -0.35206556E+02
 -0.3235678178931544E+01   0.2378721944248290E-17   0.7822103044848316E+00           200             3  -0.34356321E+02
 -0.3268034960720859E+01  -0.4608678512364044E-16   0.7902205945563321E+00           200             3  -0.34944369E+02
 -0.3300715310328068E+01   0.3496429442626425E-16   0.7982591682245710E+00           200             3  -0.35289517E+02
 -0.3333722463431349E+01  -0.6853349844149593E-18   0.8063261745879899E+00           200             3  -0.35600303E+02
 -0.3367059688065662E+01   0.9868347589728610E-18   0.8144217635929849E+00           200             3  -0.35597181E+02
 -0.3400730284946319E+01   0.1263109785986879E-16   0.8225460860383522E+00           200             3  -0.34669085E+02
 -0.3434737587795782E+01   0.2106376324801305E-18   0.8306992935797535E+00           200             3  -0.35186165E+02
 -0.3469084963673740E+01   0.2429066638665325E-16   0.8388815387341978E+00           200             3  -0.35407825E+02
 -0.3503775813310477E+01   0.2170926428910851E-18   0.8470929748845388E+00           200             3  -0.35585698E+02
 -0.3538813571443582E+01  -0.2807599803923141-307   0.8553337562839924E+00           200             3  -0.70593648E+03
 -0.3574201707158018E+01  -0.7370705499453586E-16   0.8636040380606678E+00           200             3  -0.34079413E+02
 -0.3609943724229598E+01  -0.9756696909420561E-18   0.8719039762221179E+00           200             3  -0.34883545E+02
 -0.3646043161471894E+01   0.4590100865294144E-18   0.8802337276599070E+00           200             3  -0.35573711E+02
 -0.3682503593086613E+01   0.3512608753992050E-18   0.8885934501541946E+00           200             3  -0.36263751E+02
 -0.3719328629017479E+01  -0.3175748377932041E-23   0.8969833023783363E+00           200             3  -0.34874643E+02
 -0.3756521915307654E+01  -0.1355506636299285E-18   0.9054034439035044E+00           200             3  -0.36257898E+02
 -0.3794087134460730E+01   0.0000000000000000E+00   0.9138540352033213E+00           200             3  -0.12000000E+03
 -0.3832028005805338E+01   0.6707495852291906E-18   0.9223352376585154E+00           200             3  -0.35558560E+02
 -0.3870348285863391E+01   0.2380544226628852E-18   0.9308472135615899E+00           200             3  -0.36248765E+02
 -0.3909051768722025E+01  -0.2170075330574572E-16   0.9393901261215118E+00           200             3  -0.34284569E+02
