 $IN
 LR      =  0.000000000000000E+000,
 LI      =  0.000000000000000E+000,
 NU      =  1.000000000000000E-003,
 FNU     =  0.500010000000000     ,
 DLR     =  1.000000000000000E-004,
 DLI     =  1.000000000000000E-004,
 ALPHA   =  -1.01000000000000     ,
 NMAX    =          50,
 NMIN    =           3,
 AMAX    =  1.000000000000000E+120,
 EPS     =  9.999999999999999E-021,
 FTOL    =  1.000000000000000E-005,
 ITMAX   =       10000,
 INUMAX  =       10000
 $END
 wr =   0.000000000000000E+000
 wi =   5.586035480670859E-003
 Landua mode (nu = 0)      0.                       0.5621517002683745E-02
 nu                       wr                       wi                       nmax          nmin          funk           
  0.5152199952419853E+01   0.2246577103714496E-20   0.9525098108259284E-03            82             3  -0.28054289E+02
  0.5409815102240797E+01   0.2357447032608090E-20   0.9087006040789348E-03            82             3  -0.27944646E+02
  0.5680311267167939E+01  -0.2510335236485674E-27   0.8667732317383348E-03            82             3  -0.27615243E+02
  0.5964332510837603E+01  -0.1829358846653981E-21   0.8266645185238150E-03            82             3  -0.28573416E+02
  0.6262555100711994E+01  -0.3915199619067824E-19   0.7883109871926288E-03            82             3  -0.26906944E+02
  0.6575689118302694E+01  -0.1000000000000000E-03   0.6883109871926288E-03            78             3   0.69313678E+00
  0.6904480149906947E+01  -0.2000000000000000E-03   0.5883109871926287E-03            78             3   0.69314540E+00
  0.7249711061882444E+01  -0.3000000000000000E-03   0.4883109871926287E-03            78             3   0.69314665E+00
  0.7612203864687627E+01  -0.4000000000000000E-03   0.3883109871926287E-03            78             3   0.69314698E+00
  0.7992821670125873E+01  -0.5000000000000000E-03   0.2883109871926287E-03            78             3   0.69314710E+00
  0.8392470746453837E+01  -0.6000000000000001E-03   0.1883109871926287E-03            74             3   0.69314714E+00
  0.8812102676247275E+01  -0.7000000000000001E-03   0.8831098719262871E-04            74             3   0.69314716E+00
  0.9252716622162314E+01  -0.8000000000000001E-03  -0.1168901280737130E-04            74             3   0.69314717E+00
  0.9715361705987052E+01  -0.9000000000000002E-03  -0.1116890128073713E-03            74             3   0.69314718E+00
  0.1020113950664811E+02  -0.1000000000000000E-02  -0.2116890128073713E-03            74             3   0.69314718E+00
  0.1071120668312002E+02  -0.1100000000000000E-02  -0.3116890128073713E-03            70             3   0.69314718E+00
