 $IN
 LR      =  0.000000000000000E+000,
 LI      =  5.515689316165199E-003,
 NU      =  5.000000000000000E-002,
 FAL     =   1.01000000000000     ,
 DLR     =  1.000000000000000E-008,
 DLI     =  1.000000000000000E-008,
 ALPHA   =  -1.01000000000000     ,
 NMAX    =          50,
 NMIN    =           3,
 AMAX    =  1.000000000000000E+040,
 EPS     =  9.999999999999999E-021,
 FTOL    =  1.000000000000000E-005,
 ITMAX   =       10000,
 IALMAX  =       10000,
 IW      =           1
 $END
 wr =   0.000000000000000E+000
 wi =   5.515689316165199E-003
 alpha                    wr                       wi                       nmax          nmin          funk           
 -0.1900016821856764E-01  -0.6246315375312229E-10  -0.1458306981423001E+01           292            28  -0.37142137E+02
 -0.1919208910966429E-01  -0.1892463861323503E-10  -0.1455716848489997E+01           292            28  -0.38296579E+02
 -0.1938594859562049E-01  -0.8103113963823717E-11  -0.1453123354910702E+01           292            28  -0.36044072E+02
 -0.1958176625820252E-01   0.1213573214539306E-09  -0.1450526491240966E+01           292            28  -0.36358826E+02
 -0.1977956187697224E-01  -0.2851337226489027E-12  -0.1447926246063130E+01           292            28  -0.42372555E+02
 -0.1997935543128509E-01   0.5045114365657588E-11  -0.1445322610436080E+01           292            28  -0.39459484E+02
 -0.2018116710230817E-01  -0.2083793049485219E-11  -0.1442715572168398E+01           292            28  -0.40303815E+02
 -0.2038501727505876E-01   0.1109222804412114E-09  -0.1440105122461386E+01           292            27  -0.36264848E+02
 -0.2059092654046339E-01  -0.2777051326736593E-09  -0.1437491251298521E+01           292            27  -0.35307833E+02
 -0.2079891569743777E-01  -0.5740605620375171-114  -0.1434873946432516E+01           292            27  -0.27631376E+03
 -0.2100900575498765E-01   0.3666005746570468E-10  -0.1432253199180678E+01           292            27  -0.37254000E+02
 -0.2122121793433096E-01   0.6316363556290358E-12  -0.1429628998152909E+01           292            27  -0.41275707E+02
 -0.2143557367104137E-01  -0.9466216991875388E-11  -0.1427001332649215E+01           292            27  -0.38529069E+02
 -0.2165209461721351E-01   0.2183655674730233E-10  -0.1424370193037705E+01           292            27  -0.37653700E+02
 -0.2187080264365001E-01   0.9252403040866219E-10  -0.1421735567901198E+01           292            27  -0.36170257E+02
 -0.2209171984207071E-01  -0.8426478170454578E-10  -0.1419097445712807E+01           292            27  -0.36224155E+02
 -0.2231486852734416E-01   0.7649618456890132E-12  -0.1416455817413290E+01           292            27  -0.40886396E+02
 -0.2254027123974157E-01  -0.4204930645058862-114  -0.1413810671554264E+01           292            27  -0.27630877E+03
 -0.2276795074721371E-01   0.2821074582321573E-10  -0.1411161996916917E+01           292            27  -0.37199318E+02
 -0.2299793004769062E-01  -0.1817171142298297E-10  -0.1408509783020796E+01           200            27  -0.37599362E+02
 -0.2323023237140466E-01   0.2196073239774316E-11  -0.1405854018689394E+01           200            27  -0.39672717E+02
 -0.2346488118323703E-01   0.3587267929074883-114  -0.1403194693325664E+01           200            27  -0.27630837E+03
 -0.2370190018508791E-01   0.3442981477941924-114  -0.1400531795251074E+01           200            27  -0.27630949E+03
 -0.2394131331827061E-01  -0.2459094579854645E-10  -0.1397865313942533E+01           200            27  -0.37137203E+02
 -0.2418314476592991E-01   0.1120338252586151E-11  -0.1395195238061008E+01           200            27  -0.40185920E+02
 -0.2442741895548476E-01  -0.7166386943014333E-13  -0.1392521556584680E+01           200            26  -0.42869736E+02
 -0.2467416056109572E-01   0.4002823445949050E-13  -0.1389844258194630E+01           200            26  -0.43412749E+02
 -0.2492339450615729E-01   0.6995404934110011E-11  -0.1387163331255853E+01           200            26  -0.38209889E+02
 -0.2517514596581544E-01   0.3750723982367343E-12  -0.1384478764996485E+01           200            26  -0.41096296E+02
 -0.2542944036951055E-01   0.2534413348952209-114  -0.1381790547555298E+01           200            26  -0.27631243E+03
 -0.2568630340354601E-01   0.2906638689664760E-10  -0.1379098667839768E+01           200            26  -0.36666967E+02
 -0.2594576101368284E-01  -0.1458829668081700E-10  -0.1376403114440034E+01           200            26  -0.37316704E+02
 -0.2620783940776045E-01  -0.2217622455094408E-10  -0.1373703875270744E+01           200            26  -0.35957536E+02
 -0.2647256505834389E-01   0.9467320283019671E-10  -0.1371000939590880E+01           200            26  -0.35367095E+02
 -0.2673996470539786E-01   0.1440375427410574E-10  -0.1368294294676939E+01           200            26  -0.37210266E+02
 -0.2701006535898774E-01   0.2913622140966375E-10  -0.1365583929732035E+01           200            26  -0.36465953E+02
 -0.2728289430200782E-01   0.1099058310750234E-10  -0.1362869832895639E+01           200            26  -0.37401027E+02
 -0.2755847909293719E-01   0.4304923403504999E-13  -0.1360151991772194E+01           200            26  -0.42903560E+02
 -0.2783684756862343E-01   0.1466644555761609E-10  -0.1357430395259132E+01           200            26  -0.37032620E+02
 -0.2811802784709437E-01  -0.2321616468863797E-10  -0.1354705031057029E+01           200            26  -0.36533318E+02
 -0.2840204833039835E-01   0.5218639487337294E-11  -0.1351975887184891E+01           200            26  -0.37985865E+02
 -0.2868893770747308E-01  -0.4229481044931904E-11  -0.1349242951826835E+01           200            26  -0.38155908E+02
